Week,Topics/Architectures,Learning Resources,Implementation Tasks,Time Breakdown,Milestones
1,"Basics: Single neuron, Perceptron, MLP fundamentals",Neural Networks from Scratch (Kinsley & Kukiela) Ch. 1-3; Andrew Ng's Coursera ML course (Week 4 on NNs),"Implement a single-layer perceptron for binary classification (e.g., XOR); Build forward pass and basic gradient descent",Study: 4h; Code: 6h; Test: 4h,Working perceptron on toy dataset; understand matrix operations in NumPy
2,"Multi-Layer Perceptrons (MLPs): Vanilla MLP, handling multi-class","Same book, Ch. 4-6; Deep Learning (Goodfellow et al.) Ch. 6","Implement a 3-layer MLP from scratch (forward/backprop); Add activations, dropout, and batch normalization",Study: 4h; Code: 7h; Test: 3h,Train MLP on MNIST; achieve >90% accuracy
3,"Advanced MLPs: Variants with regularization, optimizers",PyTorch tutorials on custom autograd (but implement manually first); Paper: A Neural Algorithm of Artistic Style,Extend MLP with L1/L2 regularization and Adam optimizer; Experiment with hyperparams on Iris/Fashion-MNIST,Study: 3h; Code: 8h; Test: 3h,Optimized MLP; compare vanilla vs. advanced on validation sets
4,CNN Basics: LeNet-5 for digit recognition,Deep Learning Ch. 9; Original LeNet paper (LeCun 1998),"Implement convolution/pooling layers from scratch; Build LeNet-5 (conv, pool, FC layers)",Study: 5h; Code: 6h; Test: 3h,LeNet on MNIST; visualize filters
5,Classic CNNs: AlexNet for image classification,AlexNet paper (Krizhevsky 2012); CS231n Stanford notes on CNNs,"Add data augmentation, ReLU, dropout to CNN base; Implement AlexNet (8 layers, overlapping pooling)",Study: 4h; Code: 7h; Test: 3h,AlexNet on CIFAR-10; >70% accuracy
6,"Object Detection CNNs: R-CNN family (R-CNN, Fast R-CNN)","R-CNN paper (Girshick 2014), Fast R-CNN (2015); PyImageSearch tutorials",Implement selective search for regions; Build basic R-CNN: CNN feature extractor + SVM classifier,Study: 5h; Code: 7h; Test: 3h,"Detect objects on small dataset (e.g., Pascal VOC); mAP metric"
7,"Advanced CNNs: Faster R-CNN, VGG/ResNet intro",Faster R-CNN paper (Ren 2015); VGG/ResNet papers,Add Region Proposal Network (RPN) to Fast R-CNN; Implement a mini-VGG or ResNet block (residual connections),Study: 4h; Code: 8h; Test: 3h,Faster R-CNN on custom images; understand skip connections
8,RNN Basics: Vanilla RNN for sequences,Deep Learning Ch. 10; Colah's LSTM blog post (intro to RNNs),Implement RNN cell (forward/recurrent); Train on sine wave prediction or IMDB sentiment,Study: 5h; Code: 6h; Test: 3h,RNN handling vanishing gradients; basic sequence gen
9,LSTMs and GRUs: Handling long dependencies,"LSTM paper (Hochreiter 1997), GRU (Cho 2014); Karpathy's RNN blog","Build LSTM gates (forget, input, output); Implement bidirectional LSTM and GRU variant",Study: 4h; Code: 7h; Test: 3h,"LSTM on text generation (e.g., Shakespeare); compare to vanilla RNN"
10,"Other Sequential: Seq2Seq, Attention basics",Seq2Seq paper (Sutskever 2014); Attention paper (Bahdanau 2014),Implement encoder-decoder for machine translation; Add basic attention mechanism to RNN,Study: 5h; Code: 7h; Test: 3h,Seq2Seq on simple translation task; visualize attention weights
